a	a:
gröf	k r 9: v
gröfin	k r 9: v I n
gröfina	k r 9: v I n a
gröfum	k r 9: v Y m
gröfumaður	k r 9: v Y m a: D Y r
gröfuna	k r 9: v Y n a
gröfur	k r 9: v Y r
gröfuáhugamaður	k r 9: v Y au h Y G a m a: D Y r
gröm	k r 9: m
grömm	k r 9 m
grömmum	k r 9 m Y m
grön	k r 9: n
gröndal	k r 9 n t a l
grönn	k r 9 n
grönnu	k r 9 n Y
grönnum	k r 9 n Y m
grönvald	k r 9 n v a l t
grös	k r 9: s
grösin	k r 9: s I n
grösum	k r 9: s Y m
grúfa	k r u: v a
grúfði	k r u v D I
grúfðu	k r u v D Y
grúppukeppninni	k r u h p Y c_h E h p n I n I
grúppum	k r u h p Y m
grúppuna	k r u h p Y n a
grúska	k r u s k a
grútskítugt	k r u: t s c i: t Y x t
grýla	k r i: l a
grýlan	k r i: l a n
grýlu	k r i: l Y
grýta	k r i: t a
grýtt	k r i h t
grýtta	k r i h t a
grýttan	k r i h t a n
grýtti	k r i h t I
gubbað	k Y p a D
gubbaði	k Y p a D I
gufa	k Y: v a
gufað	k Y: v a D
gufaði	k Y: v a D I
guffi	k Y f I
guffýjar	k Y f i j a r
gufu	k Y: v Y
gufuhverir	k Y: v Y k_h v E: r I r
gufukatla	k Y: v Y k_h a h t l a
gufuna	k Y: v Y n a
gufunni	k Y: v Y n I
gufuskipin	k Y: v Y s c I: p I n
gufustrókar	k Y: v Y s t r ou: k a r
gugga	k Y k a
guggin	k Y c I n
guggnað	k Y k n a D
guggu	k Y k Y
gul	k Y: l
gula	k Y: l a
gulan	k Y: l a n
gulanesi	k Y: l a n E: s I
gular	k Y: l a r
gulbrúnt	k Y l p r u n_0 t
gulir	k Y: l I r
gull	k Y t l_0
gulla	k Y l a
gullbrúðkaup	k Y t l_0 p r u D k 9Y p
gulleitt	k Y l ei h t
gullfallegu	k Y t l_0 f a t l E G Y
gullgrafara	k Y t l_0 k r a v a r a
gullgrafaranna	k Y t l_0 k r a v a r a n a
gullgrafararnir	k Y t l_0 k r a v a r a t n I r
gullhamra	k Y t l_0 h a m r a
gullhömrum	k Y t l_0 h 9 m r Y m
gulli	k Y l I
gullin	k Y t l I n
gullinn	k Y t l I n
gullið	k Y t l I D
gullna	k Y t l_0 n a
gullnu	k Y t l_0 n Y
gulls	k Y l s
gullsins	k Y l s I n s
gullsmárabrids	k Y t l_0 s m au r a p r I t s
gullstrandarinnar	k Y t l_0 s t r a n t a r I n a r
gullu	k Y l Y
gullvíravirki	k Y t l_0 v i r a v I r_0 c I
gullæðanna	k Y t l ai D a n a
gullæðarnar	k Y t l ai D a t n a r
gullæðinu	k Y t l ai D I n Y
gullæðið	k Y t l ai D I D
gullöldin	k Y t l 9 l t I n
gullúr	k Y t l_0 u r
gulnað	k Y l n a D
gulnuð	k Y l n Y D
gulnuðum	k Y l n Y D Y m
gulri	k Y l r I
gulrætur	k Y l r ai t Y r
gulrót	k Y l r ou t
gulskríkja	k Y l s k r i c a
gult	k Y l_0 t
gulu	k Y: l Y
gulvíðinum	k Y l v i D I n Y m
gulvíðirinn	k Y l v i D I r I n
gumma	k Y m a
gummi	k Y m I
gums	k Y m s
gumsi	k Y m s I
gumsið	k Y m s I D
gunna	k Y n a
gunnar	k Y n a r
gunnari	k Y n a r I
gunnars	k Y n a r_0 s
gunnhildar	k Y n h I l t a r
gunnhildi	k Y n h I l t I
gunnhildur	k Y n h I l t Y r
gunni	k Y n I
gunnlaug	k Y n l 9Y G
gunnlaugi	k Y n l 9Y j I
gunnlaugs	k Y n l 9Y x s
gunnlaugur	k Y n l 9Y G Y r
gunnleifsson	k Y n l ei f s O: n
gunnleifur	k Y n l ei v Y r
gunnsa	k Y n s a
gunnsi	k Y n s I
gunnsteinn	k Y n s t ei t n_0
gunnsu	k Y n s Y
gunnu	k Y n Y
gunnur	k Y n Y r
gunnvarar	k Y n v a r a r
gunnvör	k Y n v 9 r
gunnvöru	k Y n v 9 r Y
gunnþór	k Y n T ou r
gusa	k Y: s a
gusast	k Y: s a s t
gusaðist	k Y: s a D I s t
gust	k Y s t
gustafsson	k u s t a v s O: n
gustaði	k Y s t a D I
gusti	k Y s t I
gustur	k Y s t Y r
gusum	k Y: s Y m
gutlandi	k Y h t l a n t I
gutlaði	k Y h t l a D I
guttarnir	k Y h t a t n I r
gutti	k Y h t I
guttormur	k Y h t O r m Y r
guð	k v Y: D
guða	k v Y: D a
guðanna	k v Y: D a n a
guðbergs	k v Y D p E r k s
guðbergur	k v Y D p E r k Y r
guðbjargar	k v Y D p j a r k a r
guðbjartur	k v Y D p j a r_0 t Y r
guðbjörgu	k v Y D p j 9 r k Y
guðbrandi	k v Y D p r a n t I
guðbrands	k v Y D p r a n t s
guðdóminum	k v Y D t ou m I n Y m
guðdómleg	k v Y D t ou m l E G
guðdómlegt	k v Y D t ou m l E x t
guðdómsins	k v Y D t ou m s I n s
guðfinna	k v Y D f I n a
guðfinns	k v Y D f I n s
guðfinnu	k v Y D f I n Y
guðfinnur	k v Y D f I n Y r
guðfræðin	k v Y D f r ai D I n
guðhræddur	k v Y D r_0 ai t Y r
guði	k v Y: D I
guðina	k v Y: D I n a
guðinn	k v Y: D I n
guðir	k v Y: D I r
guðirnir	k v Y: D I t n I r
guðjóna	k v Y D j ou n a
guðjóni	k v Y D j ou n I
guðjóns	k v Y D j ou n s
guðlast	k v Y D l a s t
guðlaugar	k v Y D l 9Y G a r
guðlaugs	k v Y D l 9Y x s
guðlaugu	k v Y D l 9Y G Y
guðlaugur	k v Y D l 9Y G Y r
guðlegum	k v Y D l E G Y m
guðleifsson	k v Y D l ei f s O: n
guðleifur	k v Y D l ei v Y r
guðmannsdóttir	k v Y D m a n s t ou h t I r
guðmarsson	k v Y D m a r_0 s O: n
guðmunda	k v Y D m Y n t a
guðmundar	k v Y D m Y n t a r
guðmundi	k v Y D m Y n t I
guðmundsdóttir	k v Y D m Y n t s t ou h t I r
guðmundsdóttur	k v Y D m Y n t s t ou h t Y r
guðmundsson	k v Y D m Y n t s O: n
guðmundssonar	k v Y D m Y n t s O: n a r
guðmundssyni	k v Y D m Y n t s I: n I
guðmundu	k v Y D m Y n t Y
guðmundur	k v Y D m Y n t Y r
guðna	k v Y D n a
guðni	k v Y D n I
guðný	k v Y D n i
guðnýjar	k v Y D n i j a r
guðnýju	k v Y D n i j Y
guðrækilega	k v Y D r ai c I l E G a
guðrækni	k v Y D r ai h k n I
guðríðar	k v Y D r i D a r
guðríði	k v Y D r i D I
guðríður	k v Y D r i D Y r
guðrún	k v Y D r u n
guðrúnar	k v Y D r u n a r
guðrúnu	k v Y D r u n Y
guðs	k v Y D s
guðsins	k v Y D s I n s
guðsorðið	k v Y D s O r D I D
guðspjöllin	k v Y D s p j 9 t l I n
guðsvolaða	k v Y D s v O l a D a
guðsþjónustuna	k v Y D s T j ou n Y s t Y n a
guðsþjónustunni	k v Y D s T j ou n Y s t Y n I
guðsþjónustur	k v Y D s T j ou n Y s t Y r
guðum	k v Y: D Y m
guðunum	k v Y: D O n Y m
gvatemala	k v a: t E m a: l a
gvendur	k v E n t Y r
gyldarhaga	c I l t a r h a: G a
gylfi	c I l v I
gylliboð	c I t l I p O: D
gyllingu	c I t l i N k Y
gyllivonir	c I t l I v O: n I r
gyllt	c I l_0 t
gylltir	c I l_0 t I r
gylltri	c I l_0 t r I
gylltu	c I l_0 t Y
gylltum	c I l_0 t Y m
gyrt	c I r_0 t
gyrti	c I r_0 t I
gyrða	c I r D a
gyrðir	c I r D I r
gyrðis	c I r D I s
gyða	c I: D a
gyðinga	c I: D i N k a
gyðingar	c I: D i N k a r
gyðingarnir	c I: D i N k a t n I r
gyðingum	c I: D i N k Y m
gyðingur	c I: D i N k Y r
gyðja	c I D j a
gyðjan	c I D j a n
gyðjuna	c I D j Y n a
gyðjunnar	c I D j Y n a r
gyðjunni	c I D j Y n I
gyðjur	c I D j Y r
gyðu	c I: D Y
gyðuson	c I: D Y s O: n
gá	k au:
gáfaða	k au: v a D a
gáfaðri	k au: v a D r I
gáfaður	k au: v a D Y r
gáfnafari	k au p n a f a: r I
gáfnaljós	k au p n a l j ou: s
gáfu	k au: v Y
gáfum	k au: v Y m
gáfur	k au: v Y r
gáfurnar	k au: v Y t n a r
gáfust	k au: v Y s t
gáfuð	k au: v Y D
gáir	k au: I r
gálgann	k au l k a n
gálginn	k au l c I n
gállinn	k au t l I n
gáma	k au: m a
gámum	k au: m Y m
gára	k au: r a
gáska	k au s k a
gáskafull	k au s k a f Y t l_0
gásum	k au: s Y m
gát	k au: t
gáta	k au: t a
gátt	k au h t
gáttaður	k au h t a D Y r
gáttir	k au h t I r
gáttuð	k au h t Y D
gátu	k au: t Y
gátum	k au: t Y m
gátur	k au: t Y r
gátuð	k au: t Y D
gáð	k au: D
gáðu	k au: D Y
gædd	c ai t
gæddi	c ai t I
gæddu	c ai t Y
gæddum	c ai t Y m
gæddur	c ai t Y r
gæfa	c ai: v a
gæfan	c ai: v a n
gæfi	c ai: v I
gæfist	c ai: v I s t
gæfu	c ai: v Y
gæfunnar	c ai: v Y n a r
gægist	c ai j I s t
gægjast	c ai j a s t
gægjugatið	c ai j Y k a: t I D
gægjum	c ai j Y m
gægst	c ai x s t
gægðist	c ai G D I s t
gægðust	c ai G D Y s t
gæi	k ai j I
gæinn	k ai j I n
gæjarnir	k ai j a t n I r
gæla	c ai l a
gældi	c ai l t I
gældu	c ai l t Y
gælir	c ai: l I r
gælt	c ai l_0 t
gæludýr	c ai: l Y t i: r
gælunafn	c ai: l Y n a p n_0
gælunafnið	c ai: l Y n a p n I D
gælur	c ai: l Y r
gær	c ai: r
gæs	c ai: s
gæsahúð	c ai: s a h u: D
gæsir	c ai: s I r
gæska	c ai s k a
gæsku	c ai s k Y
gæslu	c ai s t l Y
gæsluvarðhaldi	c ai s t l Y v a r D h a l t I
gæta	c ai: t a
gæti	c ai: t I
gætilega	c ai: t I l E G a
gætinn	c ai: t I n
gætir	c ai: t I r
gætirðu	c ai: t I r Y
gætið	c ai: t I D
gætni	c ai h t n I
gætt	c ai h t
gætti	c ai h t I
gættinni	c ai h t I n I
gættu	c ai h t Y
gætu	c ai: t Y
gætum	c ai: t Y m
gætur	c ai: t Y r
gætuð	c ai: t Y D
gæða	c ai: D a
gæði	c ai: D I
gæðin	c ai: D I n
gæðinga	c ai: D i N k a
gæðum	c ai: D Y m
gífurleg	c i: v Y r l E G
gífurlega	c i: v Y r l E G a
gífurlegan	c i: v Y r l E G a n
gífurlegar	c i: v Y r l E G a r
gífurlegt	c i: v Y r l E x t
gífurlegu	c i: v Y r l E G Y
gífurlegum	c i: v Y r l E G Y m
gífurlegur	c i: v Y r l E G Y r
gígantísk	c i: k a n t i s k
gígja	c i: j a
gígju	c i: j Y
gína	c i: n a
gínandi	c i: n a n t I
gíneu	c i: n E Y
gír	c i: r
gíra	c i: r a
gírstönginni	c i r s t 9Y J c I n I
gíró	c i: r ou
gíróseðils	c i: r ou s E: D I l s
gíróseðli	c i: r ou s E D l I
gíróþjónusta	c i: r ou T j ou: n Y s t a
gíslanna	c i s t l a n a
gísli	c i s t l I
gíslingu	c i s t l i N k Y
gítar	c i: t a r
gítarinn	c i: t a r I n
gítarsins	c i: t a r_0 s I n s
gógó	k ou: k ou
gól	k ou: l
góla	k ou: l a
gólandi	k ou: l a n t I
gólaði	k ou: l a D I
gólf	k ou l v
gólfefni	k ou l v E p n I
gólffjalirnar	k ou l f j a l I t n a r
gólffjölunum	k ou l f j 9 l O n Y m
gólfi	k ou l v I
gólfin	k ou l v I n
gólfinu	k ou l v I n Y
gólfið	k ou l v I D
gólfum	k ou l v Y m
gólfunum	k ou l v O n Y m
góluðu	k ou: l Y D Y
góma	k ou: m a
gómi	k ou: m I
góminn	k ou: m I n
gómnum	k ou m n Y m
gómsætar	k ou m s ai t a r
góndi	k ou n t I
góndum	k ou n t Y m
góss	k ou s
góð	k ou: D
góða	k ou: D a
góðan	k ou: D a n
góðar	k ou: D a r
góðgerðarstarfsemi	k ou D c E r D a r s t a r v s E m I
góðgæti	k ou D c ai t I
góðgætinu	k ou D c ai t I n Y
góði	k ou: D I
góðir	k ou: D I r
góðleg	k ou D l E G
góðlega	k ou D l E G a
góðlegur	k ou D l E G Y r
góðlátlega	k ou D l au t l E G a
góðlátlegt	k ou D l au t l E x t
góðmennsku	k ou D m E n s k Y
góðra	k ou D r a
góðrar	k ou D r a r
góðri	k ou D r I
góðs	k ou D s
góðu	k ou: D Y
góðum	k ou: D Y m
góður	k ou: D Y r
góðverk	k ou D v E r_0 k
góðvild	k ou D v I l t
góðvinur	k ou D v I n Y r
góðviðri	k ou D v I D r I
góðviðrisdögum	k ou D v I D r I s t 9: G Y m
góðæri	k ou: D ai r I
góðærinu	k ou: D ai r I n Y
góðærið	k ou: D ai r I D
göfgi	k 9 v c I
göflunum	k 9 p l O n Y m
göfuga	k 9: v Y G a
göfugt	k 9: v Y x t
göfugu	k 9: v Y G Y
göfugum	k 9: v Y G Y m
göfugur	k 9: v Y G Y r
gögguðu	k 9 k Y D Y
gögn	k 9 k n_0
gögnum	k 9 k n Y m
gögnunum	k 9 k n O n Y m
göldrum	k 9 l t r Y m
göllum	k 9 t l Y m
gölluð	k 9 t l Y D
gömlu	k 9 m l Y
gömlum	k 9 m l Y m
gömluvíkur	k 9 m l Y v i: k Y r
gömul	k 9: m Y l
göng	k 9Y N k
göngin	k 9Y J c I n
göngu	k 9Y N k Y
göngulaginu	k 9Y N k Y l ai j I n Y
gönguleiðum	k 9Y N k Y l ei: D Y m
göngum	k 9Y N k Y m
gönguna	k 9Y N k Y n a
göngunnar	k 9Y N k Y n a r
göngunni	k 9Y N k Y n I
göngunum	k 9Y N k O n Y m
göngur	k 9Y N k Y r
göngustígum	k 9Y N k Y s t i: G Y m
göngutúra	k 9Y N k Y t u: r a
gönur	k 9: n Y r
görguðu	k 9 r k Y D Y
görnunum	k 9 t n O n Y m
görðum	k 9 r D Y m
görðunum	k 9 r D O n Y m
göt	k 9: t
götin	k 9: t I n
götu	k 9: t Y
götuljósin	k 9: t Y l j ou: s I n
götum	k 9: t Y m
götuna	k 9: t Y n a
götunnar	k 9: t Y n a r
götunni	k 9: t Y n I
göturnar	k 9: t Y t n a r
götótt	k 9: t ou h t
gúanó	k u: a n ou
gúanóeyju	k u: a n ou ei: j Y
gúllas	k u l a s
gúllivers	k u l i v E r_0 s
gúlpar	k u l_0 p a r
gúlpaði	k u l_0 p a D I
gúlsopinn	k u l s O p I n
gúlíver	k u l i v E r
gúmendann	k u m E n t a n
gúmmí	k u m i
gúmmíbátinn	k u m i p au: t I n
gúmmíflibbanum	k u m i f l I p a n Y m
gúmmífætt	k u m i f ai h t
gúmmíi	k u m i j I
gúmmílakið	k u m i l a: c I D
gúmmískóna	k u m i s k ou: n a
gúmmíslöngum	k u m i s t l 9Y N k Y m
gúmmístígvélum	k u m i s t i G v j E l Y m
gúmmístígvélunum	k u m i s t i G v j E l Y n Y m
gúmmítrjánna	k u m i t r j au n a
gúmtúttu	k u m t u h t Y
gúrka	k u r_0 k a
gúrku	k u r_0 k Y
gúrkufrauði	k u r_0 k Y f r_0 9Y D I
gúrkuhýðisflísar	k u r_0 k Y h i D I s f l i s a r
gúrkuna	k u r_0 k Y n a
gúrkunum	k u r_0 k Y n Y m
gúrkur	k u r_0 k Y r
gústa	k u s t a
gústaf	k u s t a v
gústafi	k u s t a v I
gústav	k u s t a v
gútemplarareglunni	k u: t E m_0 p l a r a r E k l Y n I
gýg	c i: G
gýs	c i: s
gýtur	c i: t Y r
ha	h a:
hadda	h a t a
haddi	h a t I
haf	h a: v
hafa	h a: v a
hafast	h a: v a s t
hafdísar	h a v t i s a r
hafdísi	h a v t i s I
haffa	h a f a
haffi	h a f I
haffletinum	h a f l E t I n Y m
hafi	h a: v I
hafin	h a: v I n
hafinn	h a: v I n
hafinu	h a: v I n Y
hafir	h a: v I r
hafist	h a: v I s t
hafið	h a: v I D
hafiði	h a: v I D I
hafna	h a p n a
hafnar	h a p n a r
hafnarbakkann	h a p n a r p a h k a n
hafnarfjarðarbæ	h a p n a r f j a r D a r p ai:
hafnarfjörður	h a p n a r f j 9 r D Y r
hafnarinnar	h a p n a r I n a r
hafnarkjaftur	h a p n a r c a f t Y r
hafnarríkiseftirlit	h a p n a r i c I s E f t I r l I t
hafnað	h a p n a D
hafnaði	h a p n a D I
hafnfirskri	h a p n_0 f I r_0 s k r I
hafnfirðinga	h a f I r D i N k a
hafnfirðingar	h a f I r D i N k a r
hafni	h a p n I
hafnir	h a p n I r
hafra	h a v r a
hafragrautur	h a v r a k r 9Y: t Y r
hafró	h a v r ou
hafrún	h a v r u n
hafs	h a f s
hafsins	h a f s I n s
hafsteini	h a f s t ei n I
haft	h a f t
hafta	h a f t a
hafti	h a f t I
haftið	h a f t I D
hafurtask	h a: v Y r t a s k
hafís	h a: v i s
hafðar	h a v D a r
hafði	h a v D I
hafðir	h a v D I r
hafðirðu	h a v D I r Y
hafðist	h a v D I s t
hafðu	h a v D Y
hafður	h a v D Y r
hafþór	h a f T ou r
hag	h a: G
haga	h a: G a
haganlega	h a: G a n l E G a
hagar	h a: G a r
hagað	h a: G a D
hagbjörtu	h a G p j 9 r_0 t Y
hagfræðinga	h a x f r ai D i N k a
haggast	h a k a s t
haggað	h a k a D
haggaðist	h a k a D I s t
hagi	h ai j I
haginn	h ai j I n
hagið	h ai j I D
hagkaupi	h a G k 9Y p I
hagkaups	h a G k 9Y p s
hagkaupum	h a G k 9Y p Y m
hagkvæm	h a G k v ai m
hagkvæma	h a G k v ai m a
hagkvæman	h a G k v ai m a n
hagkvæmar	h a G k v ai m a r
hagkvæmara	h a G k v ai m a r a
hagkvæmari	h a G k v ai m a r I
hagkvæmast	h a G k v ai m a s t
hagkvæmastan	h a G k v ai m a s t a n
hagkvæmni	h a G k v ai m n I
hagkvæmri	h a G k v ai m r I
hagkvæmt	h a G k v ai m_0 t
hagkvæmur	h a G k v ai m Y r
hagkvæmustu	h a G k v ai m Y s t Y
haglabyssu	h a k l a p I s Y
haglabyssum	h a k l a p I s Y m
haglabyssuna	h a k l a p I s Y n a
hagldir	h a l t I r
hagldirnar	h a l t I t n a r
hagnast	h a k n a s t
hagnað	h a k n a D
hagnaðar	h a k n a D a r
hagnaði	h a k n a D I
hagnaðist	h a k n a D I s t
hagnaður	h a k n a D Y r
hagnaðurinn	h a k n a D Y r I n
hagnist	h a k n I s t
hagnýt	h a G n i t
hagnýtar	h a G n i t a r
hagnýtri	h a G n i t r I
hagnýtum	h a G n i t Y m
hagrætt	h a G r ai h t
hagræðing	h a G r ai D i N k
hagræðingar	h a G r ai D i N k a r
hagræðingu	h a G r ai D i N k Y
hagræðir	h a G r ai D I r
hagsbóta	h a x s p ou t a
hagsmuna	h a x s m Y n a
hagsmunasamtökum	h a x s m Y n a s a m t_h 9 k Y m
hagsmuni	h a x s m Y n I
hagsmunir	h a x s m Y n I r
hagsmunum	h a x s m Y n Y m
hagstæð	h a x s t ai D
hagstæðar	h a x s t ai D a r
hagstæðara	h a x s t ai D a r a
hagstæðari	h a x s t ai D a r I
hagstæðasta	h a x s t ai D a s t a
hagstæður	h a x s t ai D Y r
hagsæld	h a x s ai l t
hagsældar	h a x s ai l t a r
hagur	h a: G Y r
hagvaxtar	h a G v a k s t a r
hagvöxtur	h a G v 9 k s t Y r
hakanum	h a: k a n Y m
hakk	h a h k
hakkaði	h a h k a D I
hal	h a: l
hala	h a: l a
halaði	h a: l a D I
hald	h a l t
halda	h a l t a
haldandi	h a l t a n t I
haldarann	h a l t a r a n
haldast	h a l t a s t
haldbær	h a l t p ai r
haldi	h a l t I
haldin	h a l t I n
haldinn	h a l t I n
haldir	h a l t I r
haldist	h a l t I s t
haldið	h a l t I D
haldlagt	h a l t l a x t
haldnar	h a l t n a r
haldnir	h a l t n I r
halds	h a l t s
hali	h a: l I
halifax	h a: l I f a k s
halla	h a l a
hallann	h a t l a n
hallanöfnum	h a t l a n 9 p n Y m
hallar	h a t l a r
hallarbyltingar	h a t l a r p I l_0 t i N k a r
hallardrykkur	h a t l a r t r I h k Y r
hallarinnar	h a t l a r I n a r
hallast	h a t l a s t
hallað	h a t l a D
hallaði	h a t l a D I
hallberg	h a t l_0 p E r k
hallberu	h a t l_0 p E: r Y
hallbjörn	h a t l_0 p j 9 t n_0
halldór	h a l t ou r
halldóra	h a l t ou r a
halldóri	h a l t ou r I
halldórs	h a l t ou r_0 s
halldóru	h a l t ou r Y
hallelúja	h a: l E l u: j a
hallfríður	h a t l_0 f r i D Y r
hallgerðar	h a t l_0 c E r D a r
hallgerði	h a t l_0 c E r D I
hallgerður	h a t l_0 c E r D Y r
hallgrím	h a t l_0 k r i m
hallgrími	h a t l_0 k r i m I
hallgríms	h a t l_0 k r i m s
halli	h a l I
hallinn	h a t l I n
hallir	h a t l I r
hallmæla	h a t l_0 m ai l a
halloka	h a t l O k a
hallormsstað	h a t l O r m s t a: D
hallur	h a t l Y r
hallveig	h a t l_0 v ei G
hallærisleg	h a t l ai r I s t l E G
hallærislegt	h a t l ai r I s t l E x t
halló	h a l ou
haltra	h a l_0 t r a
haltrandi	h a l_0 t r a n t I
haltrar	h a l_0 t r a r
haltraði	h a l_0 t r a D I
haltu	h a l_0 t Y
haltur	h a l_0 t Y r
ham	h a: m
hamar	h a: m a r
hamars	h a: m a r_0 s
hamarshöggin	h a: m a r_0 s h 9 c I n
hamast	h a: m a s t
hamborg	h a m p O r k
hamborgar	h a m p O r k a r
hamborgara	h a m p O r k a r a
hamborgarabúllu	h a m p O r k a r a p u l Y
hamborgarhryggnum	h a m p O r k a r_0 I k n Y m
hamborgari	h a m p O r k a r I
hamdi	h a m t I
hamfaranna	h a m f a r a n a
hamfarir	h a m f a r I r
hamförum	h a m f 9 r Y m
hamhleypa	h a m l_0 ei p a
hamingja	h a: m i J c a
hamingjan	h a: m i J c a n
hamingju	h a: m i J c Y
hamingjuna	h a: m i J c Y n a
hamingjunnar	h a: m i J c Y n a r
hamingjunni	h a: m i J c Y n I
hamingjusaman	h a: m i J c Y s a: m a n
hamingjusamir	h a: m i J c Y s a: m I r
hamingjusömu	h a: m i J c Y s 9: m Y
haminn	h a: m I n
hamið	h a: m I D
hamla	h a m l a
hamlar	h a m l a r
hamlað	h a m l a D
hamlaði	h a m l a D I
hampa	h a m_0 p a
hampað	h a m_0 p a D
hampaði	h a m_0 p a D I
hampiðjunnar	h a m_0 p I D j Y n a r
hamrar	h a m r a r
hamrað	h a m r a D
hamri	h a m r I
hamrinum	h a m r I n Y m
hamsi	h a m s I
hamskipti	h a: m s c I f t I
hamskiptum	h a: m s c I f t Y m
hamslaus	h a m s t l 9Y s
hamslausri	h a m s t l 9Y s r I
hamstur	h a m s t Y r
hamsturinn	h a m s t Y r I n
hana	h a: n a
hananú	h a: n a n u:
hanar	h a: n a r
handa	h a n t a
handabandi	h a n t a p a n t I
handan	h a n t a n
handanna	h a n t a n a
handapat	h a n t a p_h a: t
handar	h a n t a r
handarinnar	h a n t a r I n a r
handaskolum	h a n t a s k O: l Y m
handavinnustofurnar	h a n t a v I n Y s t O: v Y t n a r
handbendi	h a n t p E n t I
handbært	h a n t p ai r_0 t
handfanginu	h a n t f au J c I n Y
handfrjáls	h a n t f r j au l s
handfrjálsa	h a n t f r j au l s a
handfrjálsan	h a n t f r j au l s a n
handhafar	h a n t h a v a r
handhemils	h a n t h E m I l s
handiðnaðarmanna	h a n t I D n a D a r m a n a
handjárna	h a n t j au t n a
handjárnin	h a n t j au t n I n
handjárnunum	h a n t j au t n O n Y m
handklæðin	h a n t k l ai D I n
handklæðið	h a n t k l ai D I D
handklæðum	h a n t k l ai D Y m
handknattleikur	h a n t k n a h t l ei: k Y r
handknúnar	h a n t h k n u n a r
handlaginn	h a n t l ai j I n
handlegg	h a n t l E k
handleggina	h a n t l E c I n a
handlegginn	h a n t l E c I n
handleggir	h a n t l E c I r
handleggjunum	h a n t l E c O n Y m
handleggnum	h a n t l E k n Y m
handleggsbrotnaði	h a n t l E k s p r O h t n a D I
handleggurinn	h a n t l E k Y r I n
handlék	h a n t l j E k
handritin	h a n t r I t I n
handritinu	h a n t r I t I n Y
handritum	h a n t r I t Y m
handriði	h a n t r I D I
handriðin	h a n t r I D I n
handriðinu	h a n t r I D I n Y
handriðið	h a n t r I D I D
handrukkarinn	h a n t r Y h k a r I n
handrukkun	h a n t r Y h k Y n
handsamaður	h a n t s a m a D Y r
handsprengjum	h a n t s p r ei J c Y m
handtakið	h a n t a c I D
handtekinn	h a n t E c I n
handteknir	h a n t E h k n I r
handtóku	h a n t ou k Y
handtökuna	h a n t 9 k Y n a
handtöskunni	h a n t 9 s k Y n I
handuggum	h a n t Y k Y m
handverks	h a n t v E r_0 k s
handvirkt	h a n t v I r_0 t
handáburðurinn	h a n t au p Y r D Y r I n
handíðaskóla	h a n t i D a s k ou: l a
hanga	h au N k a
hangandi	h au N k a n t I
hangi	h au J c I
hangikjötsilm	h au J c I c_h 9 t s I l m
hangir	h au J c I r
hangið	h au J c I D
hangs	h au N s
hangsa	h au N s a
haninn	h a: n I n
hanka	h au N_0 k a
hann	h a n
hanna	h a n a
hannar	h a n a r
hannað	h a n a D
hannaðar	h a n a D a r
hannaði	h a n a D I
hannaðir	h a n a D I r
hannaður	h a n a D Y r
hannes	h a n E s
hannesar	h a n E s a r
hannesi	h a n E s I
hannibal	h a n I p a l
hannyrðakona	h a n I r D a k O: n a
hannyrðir	h a n I r D I r
hannyrðum	h a n I r D Y m
hanoi	h a n O: I
hans	h a n s
hansa	h a n s a
hansdóttir	h a n s t ou h t I r
hansen	h a n s E n
hanska	h a n s k a
hanskana	h a n s k a n a
hanskann	h a n s k a n
hanskar	h a n s k a r
hansson	h a n s O n
hansína	h a n s i n a
happ	h a h p
happdrættis	h a h p t r ai h t I s
happs	h a h p s
harald	h a: r a l t
haraldar	h a: r a l t a r
haraldi	h a: r a l t I
haralds	h a: r a l t s
haraldur	h a: r a l t Y r
harka	h a r_0 k a
harkaleg	h a r_0 k a l E G
harkalega	h a r_0 k a l E G a
harkaði	h a r_0 k a D I
harla	h a r t l a
harm	h a r m
harma	h a r m a
harmafregn	h a r m a f r E k n_0
harmar	h a r m a r
harmaði	h a r m a D I
harmi	h a r m I
harmkvæli	h a r m k v ai l I
harmkvælum	h a r m k v ai l Y m
harmleiksins	h a r m l ei k s I n s
harmonikku	h a r m O n I h k Y
harmonikkuna	h a r m O n I h k Y n a
harmur	h a r m Y r
harpa	h a r_0 p a
hart	h a r_0 t
hartnær	h a r_0 t n ai r
harða	h a r D a
harðan	h a r D a n
harðar	h a r D a r
harðari	h a r D a r I
harðast	h a r D a s t
harðbannað	h a r D p a n a D
harðbrjósta	h a r D p r j ou s t a
harðfisk	h a r D f I s k
harðfiskhjallur	h a r D f I s k C a t l Y r
harðfylgi	h a r D f I l c I
harðir	h a r D I r
harðlega	h a r D l E G a
harðlæst	h a r D l ai s t
harðlífi	h a r D l i v I
harðneskju	h a r D n E s c Y
harðneskjulegt	h a r D n E s c Y l E x t
harðra	h a r D r a
harðri	h a r D r I
harðræði	h a r D r ai D I
harðsnúna	h a r D s t n u n a
harðsperrur	h a r D s p E r Y r
harðspjalda	h a r D s p j a l t a
harðstjóri	h a r D s t j ou r I
harðstjórn	h a r D s t j ou r t n_0
harður	h a r D Y r
harðákveðin	h a r D au k v E D I n
harðýðgi	h a r D i D c I
hasar	h a: s a r
hasla	h a s t l a
haslað	h a s t l a D
hass	h a s
hassi	h a s I
hastarlega	h a s t a r l E G a
hastaði	h a s t a D I
hasti	h a s t I
hata	h a: t a
hatað	h a: t a D
hataði	h a: t a D I
